age,monthly_income,loan_amount,loan_term_months,past_due,employment_type,has_mortgage,num_prev_loans,credit_utilization,default
66,7684,10972,60,no,employed,no,0,0.088,0
57,4164,2777,36,yes,self-employed,no,2,0.487,0
38,11619,10345,36,yes,self-employed,no,1,0.287,0
68,5097,2444,36,no,self-employed,no,2,0.162,0
41,6144,4044,24,no,employed,no,4,0.661,0
36,3409,2571,24,no,employed,yes,1,0.4,0
65,9412,7333,48,yes,employed,no,2,0.342,0
39,8239,4634,12,no,employed,no,2,0.36,0
24,6593,3844,48,no,employed,no,1,0.115,0
44,3306,5462,24,no,employed,no,0,0.615,0
59,6421,9476,36,no,self-employed,no,2,0.182,0
30,3757,3068,12,no,unemployed,no,1,0.127,0
43,8924,15362,36,no,self-employed,no,1,0.233,0
27,7618,5015,48,no,employed,no,3,0.281,0
54,6190,5634,36,no,employed,no,2,0.234,1
44,1500,2280,24,yes,employed,yes,4,0.531,1
37,4033,3889,24,no,employed,no,2,0.169,1
32,7375,4808,60,no,employed,no,0,0.01,0
48,8425,7184,24,no,unemployed,no,4,0.504,0
53,8218,8637,48,no,employed,yes,1,0.386,0
67,2815,3465,24,no,employed,no,1,0.381,0
42,6603,5998,24,no,employed,no,0,0.704,1
28,8031,7605,48,no,unemployed,yes,4,0.173,0
61,2683,1867,36,no,employed,no,3,0.393,0
51,5984,6600,12,no,self-employed,no,1,0.013,0
55,6547,4119,60,yes,employed,yes,2,0.456,0
25,5398,8643,12,no,employed,yes,0,0.249,0
36,2295,3261,36,yes,unemployed,no,0,0.067,0
58,5348,4895,36,no,employed,no,4,0.233,0
61,5345,7594,36,no,self-employed,no,2,0.347,0
42,5703,1770,48,no,employed,no,1,0.34,0
60,4873,3979,12,yes,employed,no,3,0.209,0
62,5113,4910,60,no,employed,no,1,0.448,0
39,5920,5947,48,yes,unemployed,yes,3,0.305,0
65,6884,9796,60,no,self-employed,no,1,0.201,0
35,5391,9403,60,no,self-employed,no,0,0.359,0
32,5180,4506,60,no,employed,no,0,0.585,0
54,6184,5107,48,no,employed,no,0,0.27,0
52,2158,2623,36,no,employed,yes,1,0.415,0
27,6954,5019,36,no,employed,no,2,0.156,0
61,5998,3071,48,yes,employed,no,2,0.156,0
30,6079,10591,36,no,unemployed,yes,1,0.507,1
60,7921,11994,48,no,employed,no,2,0.529,0
21,2094,3638,12,no,employed,no,2,0.489,0
60,2052,1286,60,yes,unemployed,no,1,0.013,0
59,6547,2138,24,yes,employed,no,1,0.152,0
59,5985,5721,60,no,self-employed,yes,5,0.605,0
53,6340,10780,24,no,employed,yes,1,0.187,0
44,5075,2575,12,no,employed,yes,1,0.35,0
55,7328,3486,60,no,employed,yes,3,0.521,1
34,7865,3172,60,no,employed,yes,1,0.01,0
59,6967,10084,48,no,self-employed,no,3,0.247,0
48,5478,8101,60,no,employed,yes,2,0.124,0
43,1784,2396,24,yes,employed,no,3,0.257,0
45,7538,2863,60,no,employed,yes,1,0.071,0
48,8443,11692,36,no,employed,yes,1,0.361,0
22,7289,7091,36,no,employed,no,2,0.366,0
27,4240,2276,36,no,self-employed,no,1,0.45,0
33,7347,5456,12,no,employed,no,2,0.444,0
26,7721,8120,36,no,employed,yes,3,0.26,1
42,9117,7243,48,no,employed,no,3,0.426,0
53,4247,7451,24,no,employed,yes,4,0.637,0
53,5547,5614,60,no,employed,no,3,0.544,0
44,7494,6431,36,no,unemployed,no,0,0.591,0
62,6114,8007,24,no,self-employed,no,4,0.659,0
48,3765,4803,48,no,self-employed,no,2,0.604,0
24,6829,2073,24,no,employed,no,0,0.45,0
58,7157,8786,12,yes,employed,yes,1,0.238,0
49,6175,4110,48,no,self-employed,yes,2,0.064,0
52,6439,5555,12,no,employed,no,1,0.191,0
48,5482,7452,12,yes,employed,no,3,0.41,0
48,8956,10174,48,yes,unemployed,yes,5,0.347,0
25,4198,3580,12,no,employed,yes,1,0.244,0
48,4825,2659,60,no,self-employed,no,4,0.125,0
59,6021,6371,48,no,employed,yes,0,0.091,0
35,7757,6043,12,yes,employed,no,2,0.441,0
50,3005,5016,36,no,employed,no,0,0.137,0
22,3379,3722,12,yes,employed,yes,1,0.351,0
38,1924,3076,48,no,employed,no,2,0.178,0
42,6065,5369,12,yes,self-employed,no,1,0.245,0
69,3763,5799,60,yes,self-employed,no,3,0.155,0
31,5230,2012,24,yes,employed,yes,5,0.393,0
34,7322,5470,48,no,employed,yes,3,0.414,0
41,4716,1967,12,no,employed,no,4,0.136,0
69,6462,2245,24,no,employed,no,1,0.487,0
62,5401,9064,36,no,unemployed,no,1,0.046,0
22,7344,10100,36,no,employed,yes,4,0.526,0
32,6950,8601,60,no,unemployed,no,3,0.232,0
61,4616,5071,12,no,employed,no,1,0.369,0
23,5662,6535,12,no,employed,yes,2,0.309,0
62,8087,10173,36,yes,self-employed,no,1,0.262,0
34,6786,10449,36,no,employed,no,4,0.268,1
65,3206,3832,60,no,employed,yes,3,0.097,0
35,7311,10402,60,no,employed,no,3,0.046,0
42,3830,2763,60,yes,self-employed,no,1,0.115,0
53,8825,15577,12,no,employed,no,0,0.135,0
27,8048,2799,36,no,employed,yes,1,0.253,0
48,6579,5788,48,yes,employed,no,0,0.332,0
45,6314,10248,24,yes,employed,no,3,0.23,0
59,5581,3185,48,no,unemployed,no,0,0.534,0
69,7357,3766,24,no,employed,yes,2,0.359,0
53,5258,4459,24,no,employed,yes,4,0.422,0
41,6471,6097,60,no,employed,no,0,0.092,0
40,7743,13163,24,no,employed,no,1,0.517,0
41,4876,7578,60,no,unemployed,yes,4,0.367,0
60,4767,4748,24,no,employed,no,2,0.071,0
36,3611,6353,12,no,self-employed,yes,2,0.219,0
29,3871,4890,24,yes,employed,no,1,0.397,0
37,2343,3773,24,no,self-employed,no,2,0.087,0
22,7459,4990,36,yes,employed,yes,0,0.347,0
26,9617,9938,12,no,employed,no,2,0.294,0
25,8850,3049,48,no,employed,no,1,0.372,0
58,2747,860,60,no,employed,no,1,0.34,0
56,7449,10117,36,yes,unemployed,no,0,0.121,0
55,8844,4222,24,no,self-employed,no,3,0.494,0
43,5086,5705,36,no,employed,no,2,0.347,0
56,6202,8335,48,no,employed,yes,3,0.459,0
28,1984,691,36,no,self-employed,no,2,0.063,0
65,6533,6357,12,yes,employed,yes,1,0.151,0
45,3872,5135,36,yes,employed,yes,1,0.078,0
66,6399,10459,36,no,self-employed,no,2,0.647,0
28,2877,2154,24,no,employed,no,1,0.516,0
45,7085,12478,12,no,employed,yes,1,0.159,1
55,8049,12611,60,no,employed,yes,3,0.327,0
45,4433,5656,24,no,employed,yes,5,0.16,0
42,3726,3308,24,no,self-employed,yes,3,0.111,0
29,1687,2305,12,yes,self-employed,no,0,0.47,0
39,5467,8333,36,yes,unemployed,no,2,0.071,1
32,4836,3650,36,no,employed,yes,3,0.191,0
35,2897,5183,24,no,self-employed,no,3,0.224,0
54,6906,11484,36,no,unemployed,yes,1,0.503,0
51,5100,5244,48,no,employed,no,1,0.224,0
50,3848,5326,24,no,unemployed,no,2,0.682,0
38,4890,5310,60,yes,unemployed,no,2,0.163,0
68,8142,11735,24,no,self-employed,yes,1,0.04,0
25,7205,11099,24,yes,unemployed,no,2,0.01,1
37,5739,1921,60,no,employed,no,2,0.292,0
26,7238,3030,60,yes,employed,no,2,0.279,0
37,3678,2959,24,yes,unemployed,yes,2,0.103,0
68,6064,10165,60,no,self-employed,no,4,0.334,0
38,6294,5648,36,no,employed,no,3,0.186,0
65,5060,8254,24,no,employed,no,1,0.389,0
45,6870,6826,60,no,employed,no,1,0.185,0
55,4439,3255,48,no,unemployed,no,1,0.202,0
43,7019,11588,24,no,employed,no,0,0.226,0
34,7103,8104,48,no,employed,yes,3,0.288,0
58,1500,1261,36,no,employed,yes,0,0.362,0
68,8380,3072,12,no,employed,no,0,0.3,0
33,1500,699,60,no,unemployed,yes,1,0.261,0
59,4767,2426,36,no,employed,no,1,0.142,0
33,8050,6820,36,yes,employed,no,3,0.139,1
56,5365,6497,36,no,employed,no,0,0.055,0
59,3067,2335,36,no,self-employed,yes,2,0.379,0
43,3812,1518,24,no,employed,no,1,0.094,0
57,8053,5614,60,no,employed,no,2,0.093,0
34,2156,1968,48,yes,employed,no,1,0.963,1
24,8257,14766,48,yes,unemployed,no,3,0.275,0
25,5889,5238,36,no,self-employed,yes,1,0.593,0
42,3615,1568,24,no,self-employed,no,2,0.343,0
65,4833,5662,12,no,employed,yes,2,0.01,0
27,3965,6659,36,no,unemployed,no,3,0.056,0
43,7732,11443,24,no,self-employed,yes,3,0.464,1
55,7464,11601,48,no,employed,yes,3,0.114,0
30,2561,4334,60,no,unemployed,yes,3,0.294,1
56,5192,6515,24,yes,unemployed,yes,1,0.244,0
35,4273,7658,24,no,self-employed,no,1,0.445,0
60,8587,3004,48,no,self-employed,no,1,0.246,0
49,3299,5120,12,no,employed,yes,3,0.144,1
47,9208,14599,60,no,employed,yes,1,0.107,0
29,5933,9938,36,no,employed,no,2,0.01,0
43,3676,3739,12,no,employed,yes,2,0.47,0
62,4645,6882,24,no,employed,no,1,0.199,0
21,4396,2605,60,no,employed,yes,0,0.022,0
58,3450,4156,24,yes,unemployed,no,1,0.425,0
45,6189,5186,48,no,employed,no,2,0.193,0
56,3544,4232,24,no,self-employed,yes,1,0.681,0
53,1639,2152,24,no,employed,no,4,0.328,0
42,5240,4299,60,no,employed,no,4,0.1,0
36,2394,1494,12,no,employed,no,0,0.225,0
51,4495,3517,12,no,employed,no,0,0.265,0
27,4181,5418,36,no,employed,no,0,0.422,0
49,4257,5599,60,no,employed,no,1,0.349,0
25,10001,14121,24,no,self-employed,no,3,0.149,0
52,6112,2993,12,no,employed,yes,1,0.633,0
51,6490,9915,60,no,employed,no,4,0.224,0
25,2447,3259,48,no,employed,no,3,0.059,0
58,4692,1622,60,no,employed,yes,3,0.28,0
41,6430,5165,48,no,employed,yes,0,0.01,0
59,3950,3950,48,yes,employed,yes,5,0.378,0
23,7816,6572,36,yes,self-employed,no,2,0.141,0
29,3594,1711,24,no,self-employed,yes,3,0.225,0
45,5427,3316,48,no,unemployed,yes,1,0.071,0
30,4827,1625,48,no,self-employed,yes,4,0.477,0
37,6328,2781,60,no,employed,no,0,0.097,0
53,4719,3300,36,yes,employed,yes,1,0.222,0
28,5458,8350,24,no,employed,yes,2,0.703,0
54,5527,6024,36,no,employed,yes,1,0.313,0
26,4531,4244,48,no,employed,no,0,0.177,0
29,6970,9013,36,no,employed,yes,1,0.062,0
49,6476,7203,48,no,unemployed,no,3,0.219,0
59,5822,2895,36,no,employed,yes,1,0.444,0
29,5139,3257,12,no,employed,yes,2,0.411,0
35,7593,4812,36,no,unemployed,no,2,0.684,0
66,5528,6633,48,no,employed,no,1,0.206,0
69,5386,5345,60,no,employed,no,1,0.099,0
49,6209,5472,36,no,employed,yes,1,0.31,0
42,9393,10660,36,no,employed,no,2,0.111,0
37,3319,5825,36,no,unemployed,no,2,0.507,0
51,7539,5814,36,no,self-employed,no,2,0.468,0
49,2213,2390,12,no,employed,no,3,0.215,0
35,6434,6566,60,no,employed,no,3,0.179,0
22,9150,12580,60,yes,employed,no,1,0.255,0
28,6977,9735,36,yes,employed,yes,1,0.332,1
67,6341,8836,36,no,employed,no,3,0.26,0
41,4879,2938,12,no,employed,no,4,0.083,0
44,6062,5902,36,no,self-employed,no,3,0.424,0
43,5495,8334,36,no,unemployed,yes,1,0.544,0
59,4428,3862,48,no,unemployed,yes,3,0.27,0
24,5420,9627,12,no,self-employed,yes,0,0.225,0
25,6396,5418,48,yes,employed,no,1,0.37,0
34,4465,4672,24,yes,self-employed,no,3,0.614,0
44,4387,4438,48,no,unemployed,yes,2,0.316,0
53,3279,3116,48,yes,employed,yes,3,0.01,1
45,6781,10635,24,no,employed,yes,2,0.684,0
42,7090,3778,36,no,employed,no,2,0.239,0
66,6463,7442,60,no,unemployed,no,2,0.129,0
28,7930,9737,48,no,unemployed,yes,0,0.294,1
49,6175,9736,12,no,self-employed,no,4,0.244,0
47,6784,8234,36,no,employed,no,3,0.149,0
44,6607,11496,24,no,unemployed,no,4,0.132,1
60,5816,9353,48,no,employed,no,4,0.423,0
34,4938,4064,48,no,employed,yes,1,0.424,0
67,10428,16579,12,no,employed,yes,5,0.038,0
37,5096,8855,48,no,self-employed,yes,1,0.027,0
47,4668,3201,48,no,unemployed,no,1,0.326,0
46,6868,8346,48,no,employed,no,2,0.128,0
62,6503,4699,12,no,employed,yes,2,0.024,0
42,3190,4065,24,no,employed,no,4,0.371,0
34,8245,3631,36,no,employed,no,1,0.17,0
22,5811,8142,24,no,unemployed,no,4,0.154,0
38,3778,3512,36,no,employed,no,1,0.216,0
61,8377,9892,12,no,employed,yes,2,0.222,0
21,7251,2456,12,yes,employed,no,2,0.116,0
64,3470,4660,48,no,self-employed,no,4,0.274,0
47,9554,9974,24,yes,unemployed,no,2,0.55,0
27,7317,9057,48,no,employed,no,2,0.687,0
35,5979,4624,12,no,employed,no,3,0.422,0
48,9180,4761,36,no,unemployed,no,2,0.265,1
36,6318,6021,36,no,employed,yes,1,0.299,0
26,5943,10198,48,no,employed,no,1,0.409,1
53,4679,3002,48,no,employed,yes,1,0.428,0
53,7163,9410,36,no,unemployed,yes,3,0.167,0
26,6953,2605,48,no,self-employed,yes,2,0.483,0
34,6029,8302,24,no,employed,no,0,0.025,0
32,4420,2906,36,yes,employed,no,3,0.145,0
53,6259,6116,12,no,employed,yes,2,0.494,0
56,5860,4990,36,yes,employed,no,0,0.5,0
56,3333,1564,24,no,employed,yes,3,0.277,0
66,3056,2500,60,yes,employed,no,4,0.302,0
58,7130,5883,36,no,employed,yes,0,0.33,0
36,1500,1624,36,yes,employed,no,2,0.126,0
26,6410,11272,36,no,employed,no,2,0.172,0
51,5043,5068,24,no,employed,no,2,0.402,0
65,8616,14402,24,no,self-employed,no,1,0.157,0
68,5013,4974,60,yes,employed,no,2,0.134,0
32,7318,3375,48,no,unemployed,yes,1,0.18,0
32,5206,3359,12,no,unemployed,yes,0,0.208,0
22,6227,5674,48,no,unemployed,yes,0,0.485,0
27,7473,5889,36,no,employed,no,1,0.295,0
48,5074,8112,12,no,employed,no,1,0.028,0
47,7993,10534,36,no,employed,no,1,0.179,0
39,4012,4683,12,no,employed,no,2,0.134,0
36,6589,6831,24,yes,employed,yes,3,0.01,0
61,7845,7028,48,no,employed,yes,0,0.342,0
43,7320,8917,24,yes,employed,no,1,0.465,0
60,9832,4787,60,no,self-employed,yes,1,0.389,0
68,4473,2432,48,no,employed,no,2,0.399,0
36,3241,2445,60,no,unemployed,yes,1,0.258,0
30,4011,2233,48,no,self-employed,yes,2,0.096,0
67,7320,9630,60,no,employed,yes,2,0.222,0
52,6995,2358,36,yes,employed,no,2,0.158,0
35,6204,3351,36,no,employed,yes,0,0.117,0
51,3754,6208,36,no,unemployed,no,1,0.176,0
46,7533,13531,60,yes,self-employed,yes,1,0.259,0
65,3550,3661,24,yes,self-employed,no,2,0.336,0
33,8317,8675,36,no,self-employed,no,2,0.383,0
69,11714,17103,48,no,employed,no,3,0.217,0
66,6732,2385,36,no,unemployed,yes,0,0.06,0
29,7166,6739,60,no,unemployed,yes,4,0.623,0
29,5014,2255,36,no,self-employed,no,0,0.091,0
47,2379,2144,24,yes,employed,no,1,0.35,0
23,4794,8512,36,yes,employed,yes,1,0.222,0
35,3814,5455,36,yes,employed,no,2,0.208,0
42,3105,5519,12,no,employed,yes,2,0.645,0
68,9444,13401,12,no,employed,no,4,0.062,0
69,6545,7933,24,no,self-employed,no,2,0.231,0
28,6759,9674,48,yes,unemployed,yes,1,0.151,0
64,5381,6934,60,no,employed,no,0,0.28,0
25,5654,5631,36,no,employed,no,2,0.383,0
57,7929,5858,12,no,employed,no,0,0.344,0
62,5935,6411,36,no,unemployed,no,2,0.275,0
64,7061,4856,60,no,self-employed,no,2,0.125,0
31,5607,5775,48,no,employed,no,5,0.409,0
64,5315,2759,24,no,employed,yes,0,0.604,0
26,3186,3657,12,no,employed,no,2,0.339,0
46,2044,1365,60,no,employed,yes,3,0.257,0
44,5476,4054,60,no,employed,yes,5,0.224,0
36,6112,6408,12,no,employed,no,0,0.264,0
22,3427,1863,60,no,employed,yes,0,0.308,0
58,5931,10341,12,no,employed,no,3,0.566,0
37,6107,5926,12,no,employed,no,2,0.268,0
53,1687,1397,48,no,self-employed,yes,1,0.43,0
41,4169,1433,36,no,employed,no,2,0.502,0
39,6814,10663,36,no,employed,no,3,0.156,0
64,6774,8391,60,no,unemployed,no,0,0.027,0
25,3692,3413,60,yes,employed,no,0,0.127,1
57,6316,4220,12,no,employed,yes,1,0.123,0
57,8044,11404,48,no,employed,no,4,0.513,0
39,7554,12979,48,no,self-employed,no,5,0.179,0
33,5809,5060,36,no,employed,yes,2,0.325,0
21,5064,2543,60,no,employed,no,1,0.122,0
66,4741,2198,48,no,employed,yes,1,0.137,0
67,6935,2146,12,yes,self-employed,yes,3,0.495,0
32,6390,9047,24,no,self-employed,yes,5,0.723,0
22,7258,12861,60,no,self-employed,no,3,0.01,0
27,6263,11205,60,no,employed,no,2,0.396,0
24,7637,11274,12,no,employed,no,3,0.027,0
61,6189,3362,12,no,employed,yes,0,0.211,0
64,7569,13371,48,no,employed,no,1,0.362,0
28,7741,6128,12,yes,employed,no,0,0.175,0
57,4390,3513,12,yes,employed,yes,2,0.367,0
29,2383,3171,60,no,self-employed,no,1,0.134,0
38,9086,3394,60,yes,employed,yes,0,0.114,0
50,6513,10021,60,yes,employed,no,3,0.553,0
56,2571,4617,48,no,unemployed,no,3,0.699,0
63,4572,6687,24,no,unemployed,yes,1,0.607,0
23,7543,11107,60,no,employed,yes,4,0.385,0
30,5440,4816,24,no,unemployed,no,2,0.232,0
34,4975,1984,24,no,employed,no,3,0.126,0
36,8801,13104,60,yes,unemployed,yes,1,0.169,0
69,3905,4669,48,no,employed,yes,1,0.625,0
59,4403,7326,60,no,employed,no,1,0.166,0
36,6422,3043,24,no,unemployed,no,2,0.414,0
68,6780,5137,60,no,employed,no,4,0.246,0
45,6992,5880,48,no,self-employed,no,5,0.455,0
45,7822,10363,48,no,employed,no,1,0.34,0
42,6397,9477,60,no,employed,yes,2,0.187,1
28,6978,12152,36,no,unemployed,yes,3,0.144,1
66,5481,4072,48,no,employed,no,1,0.029,0
21,6125,6372,48,yes,unemployed,no,1,0.175,1
29,6215,2134,48,yes,unemployed,yes,4,0.096,0
32,6430,4369,60,no,employed,yes,2,0.131,0
34,7545,6496,48,no,employed,yes,3,0.518,0
27,7110,8465,12,yes,employed,no,2,0.199,0
21,6088,6126,24,no,employed,no,2,0.47,0
54,4381,3709,60,no,employed,no,2,0.329,0
68,6135,7583,60,no,employed,yes,2,0.132,1
26,5943,9169,60,no,self-employed,no,2,0.255,0
35,6386,4230,12,no,employed,yes,1,0.288,0
45,10413,8479,36,yes,self-employed,no,0,0.438,1
66,4952,6721,48,no,employed,yes,3,0.201,0
55,6844,10039,48,yes,employed,no,2,0.232,0
58,8136,12513,12,no,employed,no,1,0.231,0
49,6196,3804,48,no,employed,no,1,0.042,0
41,10675,11837,12,no,employed,yes,1,0.638,0
30,5243,8651,36,no,employed,yes,2,0.261,0
63,6648,5902,24,no,self-employed,no,0,0.544,0
60,4402,4159,12,no,self-employed,no,2,0.313,0
22,5296,9412,12,no,employed,no,0,0.287,0
56,6497,3050,60,no,unemployed,no,2,0.364,0
25,7692,10448,48,no,unemployed,no,2,0.21,0
57,6638,10456,60,no,employed,no,3,0.338,0
61,8518,4482,36,no,unemployed,no,0,0.139,0
27,5810,7969,36,yes,employed,no,3,0.53,0
42,5335,5359,36,yes,self-employed,no,1,0.216,0
27,11407,18015,48,no,employed,yes,2,0.213,1
48,6788,11276,36,no,self-employed,no,3,0.119,0
66,4561,7337,48,yes,self-employed,yes,1,0.085,0
24,4611,1828,60,no,unemployed,yes,2,0.04,0
40,4114,5904,60,no,unemployed,yes,2,0.497,1
68,7873,13244,24,no,employed,no,3,0.145,0
35,5271,6493,36,yes,self-employed,no,3,0.017,0
27,6254,7513,24,no,employed,yes,3,0.159,0
44,5872,2158,12,yes,employed,yes,3,0.513,0
45,7462,11820,48,no,employed,yes,1,0.144,0
53,4306,1591,36,yes,unemployed,yes,1,0.465,0
36,3848,2963,48,no,self-employed,yes,1,0.101,0
67,6448,10889,12,no,employed,yes,1,0.193,0
46,7201,12418,60,yes,unemployed,no,0,0.344,0
35,6665,11916,60,no,self-employed,no,1,0.636,0
68,4381,4444,36,no,employed,yes,3,0.177,0
66,7354,4163,60,no,employed,yes,0,0.155,0
45,4512,4656,24,no,self-employed,yes,3,0.191,0
22,4956,2247,48,no,self-employed,yes,1,0.267,0
50,4112,6615,60,no,employed,no,1,0.67,0
48,8602,9813,60,no,employed,no,1,0.267,0
28,7266,6588,60,no,employed,no,1,0.01,0
52,7209,3022,36,no,employed,no,2,0.246,0
62,8494,7711,60,no,employed,yes,3,0.522,0
26,11625,18591,48,yes,employed,no,3,0.325,0
56,2581,3497,12,no,employed,no,2,0.294,0
27,4523,1916,12,yes,employed,yes,2,0.198,0
57,4767,2573,48,yes,employed,no,0,0.485,0
41,4298,3818,48,no,employed,yes,3,0.206,0
21,3844,1737,36,no,employed,no,2,0.153,0
68,5400,9185,60,yes,unemployed,yes,2,0.356,0
29,3566,4558,48,no,employed,no,0,0.103,0
50,6670,2949,36,no,employed,yes,2,0.413,0
29,6103,9045,36,no,employed,no,3,0.154,0
66,6962,5935,48,no,self-employed,no,2,0.169,0
57,7015,4681,48,yes,employed,no,0,0.448,0
60,7206,8322,36,yes,employed,no,1,0.407,1
42,5253,1681,36,no,unemployed,yes,1,0.15,0
43,10242,10222,48,yes,self-employed,no,4,0.211,0
52,6468,10126,48,no,employed,yes,1,0.255,0
59,2275,3849,60,no,employed,no,0,0.163,0
62,3995,3251,12,no,unemployed,yes,3,0.088,0
21,2518,3181,48,no,unemployed,no,2,0.376,0
53,6034,3863,36,no,self-employed,no,5,0.582,0
26,5756,6563,12,no,self-employed,no,2,0.42,0
35,5063,3448,48,yes,unemployed,no,1,0.524,0
61,10021,11594,48,no,unemployed,yes,0,0.051,0
33,7097,3957,36,yes,employed,no,3,0.01,0
60,7452,12756,48,no,unemployed,yes,1,0.236,0
43,4137,6744,24,no,self-employed,yes,2,0.246,1
32,4001,3222,24,no,employed,no,1,0.541,0
37,6073,8896,36,no,employed,no,2,0.147,0
47,6346,2812,36,no,employed,no,1,0.179,0
58,2287,3225,48,yes,self-employed,no,5,0.364,0
50,5639,4080,60,no,self-employed,yes,1,0.108,0
66,6028,3034,48,yes,employed,yes,1,0.159,0
63,5569,7335,24,no,employed,no,3,0.183,0
57,4373,4393,36,no,employed,yes,4,0.075,0
50,4920,5388,24,no,employed,no,1,0.448,0
35,5646,6102,48,no,employed,no,1,0.244,1
41,6181,2405,24,yes,employed,yes,3,0.443,0
26,7209,2718,36,no,employed,no,1,0.315,0
39,8161,9807,48,yes,employed,no,3,0.143,0
66,5411,6686,48,no,employed,no,2,0.18,0
41,5087,1886,24,no,employed,no,2,0.072,0
26,6875,5965,24,yes,unemployed,no,5,0.114,0
52,7221,8804,48,yes,self-employed,yes,2,0.303,0
68,5131,6593,36,no,self-employed,no,2,0.26,0
63,7580,11691,12,yes,employed,no,1,0.63,0
34,7959,7410,60,no,employed,no,5,0.01,0
43,8583,9633,36,no,unemployed,no,1,0.157,0
47,9556,11159,36,no,employed,no,2,0.279,0
33,4267,3277,24,no,employed,yes,1,0.343,0
34,6027,2294,36,no,employed,yes,2,0.511,0
32,6022,1844,24,no,self-employed,no,1,0.311,0
69,5803,9018,24,no,employed,no,1,0.49,0
57,4701,2822,36,no,employed,no,4,0.068,0
62,3028,3771,36,yes,employed,no,2,0.583,0
61,6185,7209,60,no,employed,no,1,0.624,0
67,4463,4014,60,no,employed,no,0,0.272,0
26,6171,9566,24,no,self-employed,no,1,0.245,0
64,4411,5944,12,yes,unemployed,no,6,0.564,0
24,3800,1269,48,no,employed,no,3,0.298,0
44,6468,9475,60,no,employed,no,2,0.332,0
50,6301,6682,60,no,employed,no,2,0.177,0
38,7158,5873,12,yes,employed,no,2,0.908,0
28,10371,14419,24,no,unemployed,no,3,0.31,0
30,6554,8710,12,no,self-employed,yes,3,0.475,0
61,6970,5338,60,no,employed,yes,1,0.193,0
36,3844,6821,36,yes,self-employed,no,4,0.537,1
36,3426,4361,36,yes,employed,no,3,0.553,0
66,9165,11077,36,no,employed,no,2,0.5,0
